co_owners,keepers,league_id,metadata,owner_id,player_map,players,reserve,roster_id,starters,taxi,settings_fpts,settings_losses,settings_ties,settings_total_moves,settings_waiver_budget_used,settings_waiver_position,settings_wins,metadata_p_nick_2374,metadata_p_nick_1535,metadata_p_nick_6904,metadata_p_nick_2505,metadata_p_nick_6801,metadata_p_nick_8223,metadata_p_nick_4663,metadata_p_nick_7090,metadata_p_nick_7585,metadata_p_nick_8135,metadata_p_nick_8154,metadata_p_nick_8131,metadata_p_nick_6819,metadata_p_nick_6826,metadata_p_nick_8132,metadata_p_nick_6794,metadata_p_nick_8148,metadata_p_nick_4892,metadata_p_nick_8112,metadata_p_nick_8176,metadata_p_nick_8147,metadata_p_nick_3199,metadata_p_nick_5937,metadata_p_nick_2399,metadata_p_nick_4137,metadata_p_nick_6843,metadata_p_nick_3200,metadata_p_nick_830,metadata_p_nick_1166,metadata_p_nick_2216,metadata_p_nick_5022,metadata_p_nick_4993,metadata_p_nick_6151,metadata_p_nick_4018,metadata_p_nick_6945,metadata_allow_pn_inactive_starters,metadata_allow_pn_player_injury_status,metadata_allow_pn_scoring,metadata_restrict_pn_scoring_starters_only,metadata_p_nick_1689,metadata_p_nick_2382,metadata_p_nick_2410,metadata_p_nick_3161,metadata_p_nick_3286,metadata_p_nick_3321,metadata_p_nick_4040,metadata_p_nick_4973,metadata_p_nick_4984,metadata_p_nick_5857,metadata_p_nick_6156
,,1207451952707813376,,451807541647634432,,"['11564', '11571', '11586', '11624', '11635', '12455', '12482', '12484', '12498', '12514', '1466', '1479', '4037', '4098', '4866', '4892', '5892', '7547', '8143', '9221', '9480', '9493', '9500', '9758']",,1,"['9758', '4866', '9221', '7547', '9493', '1466', '11624', '11635', '11564']","['11586', '12455', '12484', '12498']",0,0,0,0,894,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1207451952707813376,,561715408029736960,,"['11439', '11569', '11575', '11583', '11592', '11610', '12483', '12519', '12543', '4881', '5849', '6794', '7594', '8111', '8131', '8183', '8228', '9486', '9497', '9511']","['11583', '11592']",2,"['4881', '7594', '8228', '6794', '12483', '8131', '9486', '11439', '5849']","['11569', '11575', '11610', '12519']",0,0,0,0,985,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1207451952707813376,,472136033526345728,,"['11557', '11584', '11630', '11646', '11650', '1234', '12470', '12508', '12511', '2133', '5854', '6845', '7049', '7528', '8130', '8134', '8136', '8138', '8408', '8676', '9224', '9226', '9501']",,3,"['1234', '9226', '11584', '2133', '8134', '8130', '9224', '8138', '7049']","['11630', '12470', '12508', '12511']",0,0,0,0,872,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1207451952707813376,,594730254984077312,,"['10236', '11599', '11618', '12489', '12499', '12512', '12521', '4046', '4147', '4199', '4984', '6151', '6786', '6803', '7553', '7588', '8112', '8119', '8151', '9488']",,4,"['4984', '8151', '4199', '6786', '8112', '10236', '9488', '12489', '4046']","['11599', '11618', '12499', '12521']",0,0,0,0,999,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1207451952707813376,,561747196680642560,,"['10235', '10866', '11563', '11581', '11589', '11629', '11640', '11643', '12471', '12476', '12481', '12486', '12502', '12509', '12536', '4217', '4981', '4988', '6783', '7523', '7525', '8137', '9481', '9484', '9756', '9757']",,5,"['11563', '12481', '11589', '7525', '8137', '4217', '9756', '6783', '4981']","['11629', '11640', '12486', '12502']",0,0,0,0,799,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1207451952707813376,,558483388996636672,,"['10213', '11559', '11604', '11628', '11632', '12496', '12529', '4033', '421', '5848', '5927', '5967', '6801', '6813', '6904', '7571', '7596', '8146', '8155', '9753', '9754']",,6,"['6904', '6813', '8155', '11632', '11628', '11604', '6801', '8146', '5927']",,0,0,0,0,998,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1207451952707813376,,548317142968336384,,"['10222', '11560', '11619', '11620', '11627', '11637', '11651', '1166', '12490', '12507', '12517', '12530', '12533', '4950', '5012', '6790', '6797', '6819', '7608', '8110', '8144', '8154', '8205', '9228', '9492', '9502', '9505']",['9502'],7,"['6797', '12507', '8205', '12530', '11620', '5012', '10222', '6790', '11560']","['11627', '12490', '12517', '12533']",0,0,0,0,865,10,0,The Key,The Warehouse,Rental Car,Build The,Plain White,This Is,Texas,Paul,The General,Ellis,Life Of,Un,Great First Name,Nat King,The Creator,Moving On Up,Irish Whiskey,Mixed Dozen,Aubrey,Mr. Tanner,Fuck Cancer,Wendyâ€™s,Huge,Ward,Roseanne,Fat,Silver,Envy,Kissinâ€™,Great Name,Thatâ€™s,Great Name,I Would Walk 500,Subway Knockout,Banderas,,,,,,,,,,,,,,,
"['1069022574568402944', '1139726071898824704']",,1207451952707813376,,1068706773223223296,,"['11562', '11565', '11579', '11596', '11625', '11626', '11638', '12469', '12504', '12506', '12524', '12527', '12531', '2309', '4017', '4066', '4663', '5001', '5248', '6804', '6806', '7543', '7611', '8148', '8167', '9997']","['4017', '8167']",8,"['6804', '12527', '12504', '9997', '8148', '4066', '11638', '7543', '11565']","['11579', '12469', '12506', '12524']",0,0,0,0,919,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,on,off,on,,,,,,,,,,,
,,1207451952707813376,,595331324689047552,,"['10232', '10859', '11600', '11636', '11647', '12474', '12492', '12497', '12505', '12518', '12522', '3163', '4035', '4137', '4144', '4983', '5859', '6826', '6945', '7526', '7561', '8150', '9494', '96', '9999']",,9,"['12522', '8150', '4035', '4983', '0', '10859', '4137', '7526', '12518']","['11600', '11636', '11647', '12497']",0,0,0,0,921,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1207451952707813376,,595421624581287936,,"['10444', '11566', '11576', '11617', '11631', '11655', '12457', '12493', '12526', '2306', '2449', '3321', '4082', '4943', '5844', '5846', '6770', '7021', '7670', '8126', '9508', '9509']",,10,"['11566', '9509', '11655', '11631', '3321', '5844', '12526', '5846', '6770']","['12457', '12493']",0,0,0,0,956,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1207451952707813376,,595464158774878208,,"['11577', '12495', '12500', '12501', '12510', '12545', '12547', '3198', '3214', '4039', '4454', '5045', '5850', '5947', '5987', '6768', '7564', '7591', '7600', '9225']",,11,"['7591', '3198', '5850', '7564', '5045', '3214', '5947', '4039', '6768']","['12495', '12500', '12510', '12547']",0,0,0,0,1000,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,on,off,on,,,,,,,,,,,
,,1207451952707813376,,741144911407095808,,"['10225', '10229', '10857', '11597', '11616', '12467', '12487', '12535', '1373', '2216', '3164', '3294', '4018', '4034', '4068', '5870', '5872', '7090', '7569', '8132', '9229']",,12,"['3294', '4034', '4018', '10229', '7569', '11597', '2216', '5872', '1373']","['11616', '12467', '12487', '12535']",0,0,0,0,824,12,0,,,,,,,âš¡ï¸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,on,on,on,ğŸ’©,ğŸ¥,ğŸ¥ƒ,ğŸ’¦,ğŸ‘˜,ğŸ†“,ğŸ¬,ğŸŒ¾,ğŸš€,ğŸ¦…,ğŸ‘ƒğŸ¼
