co_owners,keepers,league_id,owner_id,player_map,players,reserve,roster_id,starters,taxi,metadata_record,metadata_streak,settings_fpts,settings_fpts_against,settings_fpts_against_decimal,settings_fpts_decimal,settings_losses,settings_ppts,settings_ppts_decimal,settings_ties,settings_total_moves,settings_waiver_budget_used,settings_waiver_position,settings_wins,metadata_allow_pn_inactive_starters,metadata_allow_pn_player_injury_status,metadata_allow_pn_scoring,metadata_p_nick_1049,metadata_p_nick_1352,metadata_p_nick_1535,metadata_p_nick_1689,metadata_p_nick_2216,metadata_p_nick_2320,metadata_p_nick_4017,metadata_p_nick_4098,metadata_p_nick_5857,metadata_p_nick_5890,metadata_p_nick_6813,metadata_restrict_pn_scoring_starters_only,metadata_p_nick_1166,metadata_p_nick_4034,metadata_p_nick_4081,metadata_p_nick_4983,metadata_p_nick_5012,metadata_p_nick_5056,metadata_p_nick_5862,metadata_p_nick_5955,metadata_p_nick_6955,metadata_p_nick_7547,metadata_p_nick_7591,metadata_p_nick_7651,metadata_p_nick_8119,metadata_p_nick_8132,metadata_p_nick_8146,metadata_p_nick_8154,metadata_p_nick_1999,metadata_p_nick_3214,metadata_p_nick_4039,metadata_p_nick_4040,metadata_p_nick_4091,metadata_p_nick_4455,metadata_p_nick_4866,metadata_p_nick_4892,metadata_p_nick_5045,metadata_p_nick_5284,metadata_p_nick_5850,metadata_p_nick_6807,metadata_p_nick_7527,metadata_p_nick_7607,metadata_p_nick_7647,metadata_p_nick_8112
,,859952155191279616,451807541647634432,,"['1426', '2309', '2311', '4035', '4960', '5032', '5346', '5870', '5876', '6125', '6151', '6806', '6943', '7757', '8167', '8225']",,1,"['5870', '6151', '6943', '2309', '5032', '8167', '6806', '6125', '4960', '5876', '5346']",,LWWLLWWLLLWLLL,3L,1765,1919,10,98,9,1922,78,0,0,81,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,861702367484178432,,"['2449', '3163', '3198', '3233', '3321', '4089', '4149', '5110', '5849', '5991', '6056', '6824', '7600', '7637', '8265', '8329']",,2,"['3163', '3198', '2449', '6824', '7600', '3321', '4149', '5991', '7637', '3233', '6056']",,LWWWWLWWWLWLLL,3L,1950,1866,42,48,6,2105,32,0,0,50,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,558483388996636672,,"['1476', '3214', '5086', '5297', '5960', '6011', '6120', '6794', '6809', '6904', '7596', '8136', '8137']",,3,"['6011', '1476', '6794', '7596', '3214', '8137', '8136', '6120', '5960', '6809', '5297']",,WLLWLLLWLWLWLL,2L,1735,1934,98,96,9,1861,84,0,0,83,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,594730254984077312,,"['1352', '2028', '2389', '3164', '3230', '3271', '3303', '4197', '4602', '4980', '6788', '6790', '7528', '7553', '7610', '7670', '8148', '843', '947']","['6788', '7553', '7610']",4,"['2028', '6790', '8148', '1352', '3271', '3164', '7528', '3303', '4980', '3230', '843']",,LLWLLLLWLLWWLW,1W,1482,1784,36,66,9,1635,90,0,0,69,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,561747196680642560,,"['1052', '2505', '2750', '4029', '5848', '5857', '5987', '6149', '6768', '6781', '6803', '6819', '6880', '7564', '8289', '8314']",,5,"['6768', '4029', '6803', '7564', '2505', '6819', '5848', '8289', '6781', '8314', '6880']",,LLLLLWWWLWLLWW,2W,1676,1664,10,2,8,1812,78,0,0,100,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,741144911407095808,,"['1049', '1535', '1689', '2036', '2216', '2711', '3199', '3276', '3286', '4098', '5318', '5890', '6813', '7045', '7672', '7811', '8130']",['3199'],6,"['1049', '7045', '3286', '2216', '8130', '1689', '4098', '2036', '5318', '7811', '7672']",,WLWLLLLLLLLLLW,1W,1462,1639,42,48,11,1602,90,0,0,33,2,3,on,on,on,Dave,,TBD,White Lightning ⚡,Ol' Reliable ,Fisherman,Happy Ending ,Punt,Ark,TBD,JTT,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,595464158774878208,,"['1234', '1466', '2133', '2197', '2374', '2749', '3969', '4080', '4082', '4968', '5089', '5334', '6118', '8132', '8151', '8323']",,7,"['5089', '8151', '2133', '2374', '1466', '8132', '3969', '6118', '5334', '8323', '4968']",,WWWWWLWLWWLWWW,3W,1853,1608,72,99,3,2017,90,0,0,100,12,11,,,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,548317142968336384,,"['1166', '1343', '4034', '4111', '4983', '5012', '5332', '5816', '5862', '6826', '6938', '7547', '8135', '8146', '8154', '8363']",,8,"['1166', '4034', '7547', '8146', '5012', '4983', '8154', '5816', '5332', '1343', '5862']",,LWLWWLLWLWLWWL,1L,1850,1782,60,12,7,2041,32,0,0,100,10,7,,,,,,,,,,,,,,,,Kissin’,Born Again,Belly,Funky Music,Julie,Dozen Donuts,Mister,The Gatherer,Family Tree House,Walks Into a Bar,Strawberry,The Lawn,Circle Boy,The Creator,The Volleyball,Swiss Family,,,,,,,,,,,,,,,,
,,859952155191279616,861798755085692928,,"['1875', '2350', '3225', '4018', '4036', '4147', '4984', '5015', '5038', '5844', '5847', '6770', '6949', '7562', '7662', '8341']",,9,"['4984', '4018', '5038', '3225', '5844', '4036', '7562', '5847', '2350', '7662', '6949']",,WLLWLWLLWLLWWL,1L,1693,1714,86,68,8,1837,46,0,0,94,8,6,,,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,561715408029736960,,"['1233', '1837', '2617', '4158', '4171', '4988', '5061', '5536', '5859', '6291', '6786', '7525', '7527', '7588', '7677', '8111', '8126', '8138', '8142', '8172']","['4158', '7588', '7677', '8126']",10,"['7527', '4988', '7525', '5859', '8111', '8138', '6786', '5061', '1233', '6291', '2617']",,WLWWWLLWLLWLWL,1L,1669,1611,88,98,7,1734,36,0,0,32,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,862499213718704128,,"['1192', '3160', '3262', '3294', '4663', '4978', '4999', '5892', '5906', '5917', '5937', '6845', '6920', '7594', '7608', '8119', '8123']",['5917'],11,"['3294', '4663', '8119', '5937', '5906', '5892', '6845', '4999', '4978', '3262', '1192']",,LWLLLWWLLLWLWW,2W,1636,1798,62,4,8,1775,54,0,0,100,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,830975786608619520,,"['1905', '2393', '3202', '3634', '4033', '4037', '4381', '4881', '5967', '6797', '6828', '7526', '7648', '7787', '8144', '8183']",,12,"['6797', '6828', '7526', '4037', '4033', '8144', '4381', '2393', '1905', '7787', '7648']",,LWWLLWWWWWWWLL,2L,1755,1665,12,54,5,1971,6,0,0,20,7,9,off,off,off,,,,,,,,,,,,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,862559746694205440,,"['2161', '4017', '4032', '4046', '4199', '4217', '4971', '4973', '5846', '5947', '6119', '6801', '7023', '7117', '7611', '7640']",,13,"['4046', '7611', '5846', '6801', '4217', '4199', '2161', '4032', '7023', '7117', '6119']",,WLLWWWLLWWWWLW,1W,1904,1687,84,14,5,2054,34,0,0,22,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,578293895956312064,,"['1373', '3172', '4039', '4040', '4066', '4180', '4455', '4866', '4951', '5041', '5045', '5284', '5850', '6807', '7523', '7607', '8122']",['4039'],14,"['7523', '4866', '4951', '4040', '4066', '8122', '5850', '3172', '6807', '4180', '5041']",,LWWWWWWLWWLWLW,1W,1834,1658,42,56,4,2051,44,0,0,97,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New England TE,,,,,,Do something,,,,,,,,
,,859952155191279616,453691856656527360,,"['4068', '4070', '4137', '4963', '5001', '5580', '5927', '5944', '6130', '6783', '6945', '7016', '7591', '8112', '8205', '96']",,15,"['7591', '8205', '6783', '4068', '5001', '4137', '5927', '4070', '7016', '4963', '5580']",,WLLLWLWWWWLLWW,2W,1727,1754,16,38,6,1932,38,0,0,90,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,859952155191279616,862881247247052800,,"['1479', '167', '3973', '4191', '4950', '4990', '5000', '5022', '5185', '5520', '5985', '6141', '6888', '7002', '7543', '7571', '8160', '8210', '8228']","['4990', '5000', '7571']",16,"['167', '7543', '4950', '1479', '5022', '5185', '8228', '3973', '6141', '6888', '4191']",,WWLLWWLLWLWLWL,1L,1726,1635,2,60,7,1818,50,0,0,0,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
